family,seed,C,B,gamma,T_count,T_depth,peak_demand,mean_demand,delta_max,slack_ratio,mean_t_slack,stall,slowdown_ratio,inversion,strong_baseline_inversion,shaping_gain,strong_baseline_shaping_gain,feasible
high_compressibility,1,6,6,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,7,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,8,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,9,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,10,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,11,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,12,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,13,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,14,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,15,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,0,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,1,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,2,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,3,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,4,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,5,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,6,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,7,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,8,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,9,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,10,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,11,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,12,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,13,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,14,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,7,15,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,1,0,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,inf,0,0,0.0,0.0,0
high_compressibility,3,1,1,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,inf,0,0,0.0,0.0,0
high_compressibility,3,1,2,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,inf,0,0,0.0,0.0,0
high_compressibility,3,1,3,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,inf,0,0,0.0,0.0,0
high_compressibility,3,1,4,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,inf,0,0,0.0,0.0,0
high_compressibility,3,1,5,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,3,1,6,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,3,1,7,23,29,8,6,3.625,23,1.0,3.3448275862068964,1,3.875,1,0,0.06451612903225806,0.0,1
