workload_scope,workload_name,policy,variant_id,trace_length,C_nominal,B,routing_alpha,C_effective,feasible,feasible_reason,delta_max_nominal,delta_max_proxy,T_exe_proxy,slowdown_proxy,stall_cycles_proxy
real,qft_n8,static_min,qft_n8:static_min,549736,3,0,1.5,2,0,peak_demand_exceeds_reachable_stock,0,0,inf,inf,inf
real,qft_n8,static_min,qft_n8:static_min,549736,3,8,1.0,3,1,feasible,0,0,551628.0,1.0034416519929565,1892.0
real,qft_n8,static_min,qft_n8:static_min,549736,3,8,1.25,2,1,feasible,0,0,587329.0,1.068383733282885,37593.0
real,qft_n8,static_min,qft_n8:static_min,549736,3,8,1.5,2,1,feasible,0,0,587329.0,1.068383733282885,37593.0
real,qft_n8,static_min,qft_n8:static_min,549736,5,0,1.0,5,0,peak_demand_exceeds_reachable_stock,0,0,inf,inf,inf
real,qft_n8,static_min,qft_n8:static_min,549736,5,0,1.25,4,0,peak_demand_exceeds_reachable_stock,0,0,inf,inf,inf
real,qft_n8,static_min,qft_n8:static_min,549736,5,0,1.5,3,0,peak_demand_exceeds_reachable_stock,0,0,inf,inf,inf
real,qft_n8,static_min,qft_n8:static_min,549736,5,8,1.0,5,1,feasible,0,0,549736.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,5,8,1.25,4,1,feasible,0,0,549736.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,5,8,1.5,3,1,feasible,0,0,551628.0,1.0034416519929565,1892.0
real,qft_n8,static_min,qft_n8:static_min,549736,7,0,1.0,7,1,feasible,0,0,549736.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,7,0,1.25,5,0,peak_demand_exceeds_reachable_stock,0,0,inf,inf,inf
real,qft_n8,static_min,qft_n8:static_min,549736,7,0,1.5,4,0,peak_demand_exceeds_reachable_stock,0,0,inf,inf,inf
real,qft_n8,static_min,qft_n8:static_min,549736,7,8,1.0,7,1,feasible,0,0,549736.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,7,8,1.25,5,1,feasible,0,0,549736.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,7,8,1.5,4,1,feasible,0,0,549736.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,3,0,1.0,3,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,3,0,1.25,2,0,peak_demand_exceeds_reachable_stock,0,9,inf,inf,inf
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,3,0,1.5,2,0,peak_demand_exceeds_reachable_stock,0,9,inf,inf,inf
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,3,8,1.0,3,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,3,8,1.25,2,1,feasible,0,9,15.0,1.5,5.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,3,8,1.5,2,1,feasible,0,9,15.0,1.5,5.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,5,0,1.0,5,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,5,0,1.25,4,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,5,0,1.5,3,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,5,8,1.0,5,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,5,8,1.25,4,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,5,8,1.5,3,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,7,0,1.0,7,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,7,0,1.25,5,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,7,0,1.5,4,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,7,8,1.0,7,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,7,8,1.25,5,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,smoothed,high_compressibility_seed7:smoothed,10,7,8,1.5,4,1,feasible,0,0,10.0,1.0,0.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,3,0,1.0,3,0,peak_demand_exceeds_reachable_stock,11,11,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,3,0,1.25,2,0,peak_demand_exceeds_reachable_stock,11,17,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,3,0,1.5,2,0,peak_demand_exceeds_reachable_stock,11,17,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,3,8,1.0,3,1,feasible,11,11,12.0,1.5,4.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,3,8,1.25,2,1,feasible,11,17,17.0,2.125,9.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,3,8,1.5,2,1,feasible,11,17,17.0,2.125,9.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,5,0,1.0,5,0,peak_demand_exceeds_reachable_stock,3,3,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,5,0,1.25,4,0,peak_demand_exceeds_reachable_stock,3,6,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,5,0,1.5,3,0,peak_demand_exceeds_reachable_stock,3,11,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,5,8,1.0,5,1,feasible,3,3,9.0,1.125,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,5,8,1.25,4,1,feasible,3,6,10.0,1.25,2.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,5,8,1.5,3,1,feasible,3,11,12.0,1.5,4.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,7,0,1.0,7,1,feasible,0,0,8.0,1.0,0.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,7,0,1.25,5,0,peak_demand_exceeds_reachable_stock,0,3,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,7,0,1.5,4,0,peak_demand_exceeds_reachable_stock,0,6,inf,inf,inf
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,7,8,1.0,7,1,feasible,0,0,8.0,1.0,0.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,7,8,1.25,5,1,feasible,0,3,9.0,1.125,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,7,8,1.5,4,1,feasible,0,6,10.0,1.25,2.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,3,0,1.0,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,3,0,1.25,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,3,0,1.5,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,3,8,1.0,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,3,8,1.25,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,3,8,1.5,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,5,0,1.0,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,5,0,1.25,4,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,5,0,1.5,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,5,8,1.0,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,5,8,1.25,4,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,5,8,1.5,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,7,0,1.0,7,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,7,0,1.25,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,7,0,1.5,4,1,feasible,0,0,42.0,1.0,0.0
