family,seed,C,B,static_min_vs_smoothed_inversion,capacity_aware_vs_smoothed_inversion
high_compressibility,5,1,3,0,0
high_compressibility,5,1,4,0,0
high_compressibility,5,1,5,0,0
high_compressibility,5,1,6,1,0
high_compressibility,5,1,7,1,0
high_compressibility,5,1,8,1,0
high_compressibility,5,1,9,1,0
high_compressibility,5,1,10,1,0
high_compressibility,5,1,11,1,0
high_compressibility,5,1,12,1,0
high_compressibility,5,1,13,1,0
high_compressibility,5,1,14,1,0
high_compressibility,5,1,15,1,0
high_compressibility,5,2,0,0,0
high_compressibility,5,2,1,0,0
high_compressibility,5,2,2,0,0
high_compressibility,5,2,3,0,0
high_compressibility,5,2,4,0,0
high_compressibility,5,2,5,1,0
high_compressibility,5,2,6,1,0
high_compressibility,5,2,7,1,0
high_compressibility,5,2,8,1,0
high_compressibility,5,2,9,1,0
high_compressibility,5,2,10,1,0
high_compressibility,5,2,11,1,0
high_compressibility,5,2,12,1,0
high_compressibility,5,2,13,1,0
high_compressibility,5,2,14,1,0
high_compressibility,5,2,15,1,0
high_compressibility,5,3,0,0,0
high_compressibility,5,3,1,0,0
high_compressibility,5,3,2,0,0
high_compressibility,5,3,3,0,0
high_compressibility,5,3,4,1,0
high_compressibility,5,3,5,1,0
high_compressibility,5,3,6,1,0
high_compressibility,5,3,7,1,0
high_compressibility,5,3,8,1,0
high_compressibility,5,3,9,1,0
high_compressibility,5,3,10,1,0
high_compressibility,5,3,11,1,0
high_compressibility,5,3,12,1,0
high_compressibility,5,3,13,1,0
high_compressibility,5,3,14,1,0
high_compressibility,5,3,15,1,0
high_compressibility,5,4,0,0,0
high_compressibility,5,4,1,0,0
high_compressibility,5,4,2,0,0
high_compressibility,5,4,3,0,0
high_compressibility,5,4,4,0,0
high_compressibility,5,4,5,0,0
high_compressibility,5,4,6,0,0
high_compressibility,5,4,7,0,0
high_compressibility,5,4,8,0,0
high_compressibility,5,4,9,0,0
high_compressibility,5,4,10,0,0
high_compressibility,5,4,11,0,0
high_compressibility,5,4,12,0,0
high_compressibility,5,4,13,0,0
high_compressibility,5,4,14,0,0
high_compressibility,5,4,15,0,0
high_compressibility,5,5,0,0,0
high_compressibility,5,5,1,0,0
high_compressibility,5,5,2,0,0
high_compressibility,5,5,3,0,0
high_compressibility,5,5,4,0,0
high_compressibility,5,5,5,0,0
high_compressibility,5,5,6,0,0
high_compressibility,5,5,7,0,0
high_compressibility,5,5,8,0,0
high_compressibility,5,5,9,0,0
high_compressibility,5,5,10,0,0
high_compressibility,5,5,11,0,0
high_compressibility,5,5,12,0,0
high_compressibility,5,5,13,0,0
high_compressibility,5,5,14,0,0
high_compressibility,5,5,15,0,0
high_compressibility,5,6,0,0,0
high_compressibility,5,6,1,0,0
