family,seed,policy,capacity_limit_mode,capacity_limit,C,B,feasible,feasible_reason,legacy_compressibility,slack_ratio,mean_t_slack,T_static,T_exe,stall_cycles,stall_ratio,delta_max,gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
high_compressibility,1,capacity_aware_static,C,3,3,3,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,3,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,4,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,4,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,4,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,5,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,5,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,5,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,6,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,6,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,6,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,7,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,7,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,7,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,8,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,8,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,8,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,9,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,9,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,9,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
high_compressibility,1,capacity_aware_static,C,3,3,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,4,0,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,7,7,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,4,4,0,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,8.0,0.0,0.0,0,0,4,3.625,29,124.0,1.0
high_compressibility,1,smoothed,none,0,4,0,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,4,1,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,7,7,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,4,4,1,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,8.0,0.0,0.0,0,0,4,3.625,29,124.0,1.0
