workload_scope,workload_name,policy,variant_id,trace_length,total_t,peak_demand,C,B,p_acc,trial_index,T_static,T_exe,stall_cycles,stall_ratio,max_cycle_hit,mean_service
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,59,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,60,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,61,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,62,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,63,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,64,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,65,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,66,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,67,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,68,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,69,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,70,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,71,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,72,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,73,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,74,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,75,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,76,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,77,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,78,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,79,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,80,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,81,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,82,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,83,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,84,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,85,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,86,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,87,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,88,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,89,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,90,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,91,8,31,23,0.7419354838709677,0,1.0
