workload_scope,workload_name,policy,variant_id,trace_length,total_t,peak_demand,mean_demand,delta_max_det,delta_max_expected_service,C,B,p_acc,trials,feasible,feasible_reason,mean_T_exe_stochastic,std_T_exe_stochastic,mean_slowdown_stochastic,mean_stall_cycles_stochastic,frac_runs_with_stall,frac_runs_hitting_cycle_cap,mean_service
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,0,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,1.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,1.5,1,8,0.95,100,1,feasible,5541.76,1.7095028517086488,1.000317689530686,1.76,0.71,0.0,0.9503588049366455
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,8,0.99,100,1,feasible,5540.05,0.25980762113533157,1.000009025270758,0.05,0.04,0.0,0.9900325844621976
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,8,0.995,100,1,feasible,5540.05,0.2179449471770336,1.000009025270758,0.05,0.05,0.0,0.9950939172183467
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,8,0.999,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,0.998962093862816
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,8,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,1.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,0,0.95,100,1,feasible,5540.51,0.6244197306299664,1.0000920577617327,0.51,0.44,0.0,2.850174428586877
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,0,0.99,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,2.969698555956679
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,0,0.995,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,2.9848393501805055
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,0,0.999,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,2.997
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,0,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,3.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,8,0.95,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,2.8502093862815885
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,8,0.99,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,2.969824909747292
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,8,0.995,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,2.984870036101083
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,8,0.999,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,2.997037906137184
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,3,8,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,3.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,0,0.95,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.700050541516247
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,0,0.99,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.940610108303249
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,0,0.995,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.9698212996389906
