workload_family,workload_name,instance_id,size_n,T_count,T_depth,trace_length,peak_T_demand,slack_ratio,mean_t_slack,mean_delta_max,max_delta_max,mean_peak_demand,frac_CB_with_slowdown,frac_CB_with_stall,grid_type,synthesis_precision,variant,evaluated,skip_reason,modulus,multiplier_constant,qaoa_p,graph_type,graph_seed,graph_edges
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p2_erdos_renyi_dense_s0,6,313590,237008,237008,4,0.4259319493606301,18685.481514078892,15316.6,76583.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,0.0,6.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p2_erdos_renyi_dense_s1,6,391863,357088,357088,3,0.466173126832592,25277.77051163289,8533.8,42669.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,1.0,9.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p2_erdos_renyi_dense_s2,6,313590,284401,284401,3,0.4607799993622246,34480.55016422718,5838.0,29190.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,2.0,6.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p1_ring_s0,8,221688,201870,201870,3,0.4341958067193533,37673.55595250984,3963.6,19818.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,ring,0.0,8.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p1_random_3_regular_s0,8,277696,227164,227164,3,0.3970456902512099,26329.18347401475,10106.4,50532.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,0.0,12.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p1_random_3_regular_s1,8,277696,252458,252458,3,0.4474677345010371,33821.3067887186,6344.2,31721.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,1.0,12.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p1_random_3_regular_s2,8,277696,227164,227164,3,0.4978897787508642,35230.121816662824,10106.4,50532.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,2.0,12.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p1_erdos_renyi_dense_s0,8,263694,176576,176576,4,0.577426865988608,27783.45816742133,17423.6,87118.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,0.0,11.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p1_erdos_renyi_dense_s1,8,347706,303046,303046,3,0.437910188492577,31043.138967978695,8932.0,44660.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,1.0,17.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p1_erdos_renyi_dense_s2,8,291698,201870,201870,4,0.3779868219871237,26254.086006760415,17965.6,89828.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,2.0,13.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_ring_s0,8,418120,268692,268692,4,0.553647278293313,15509.264529321728,29885.8,149429.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,ring,0.0,8.0
