family,seed,policy,capacity_limit_mode,C,B,compressibility,compressibility_slack_ratio,compressibility_mean_t_slack,T_static,T_exe,normalized_makespan,QTV_proxy,Delta_max,Gamma
high_compressibility,1,capacity_aware_static,C,6,6,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,7,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,8,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,9,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,10,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,11,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,12,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,13,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,14,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,15,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,0,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,1,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,2,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,3,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,4,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,5,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,6,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,7,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,8,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,9,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,10,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,11,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,12,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,13,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,14,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,7,15,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,smoothed,none,1,2,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,3,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,4,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,5,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,6,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,7,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,8,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,9,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,10,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,11,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,12,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,13,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,14,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,1,15,0.5665024630541872,1.0,3.9655172413793105,10,29.0,2.9,461.0,19,19
high_compressibility,1,smoothed,none,2,1,0.5665024630541872,1.0,3.9655172413793105,10,19.0,1.9,306.0,9,9
high_compressibility,1,smoothed,none,2,2,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,3,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
