trace_name,C,B,real_trace_compressibility,Delta_max_capacity_aware_static,Delta_max_smoothed,Delta_max_static_min,Gamma_capacity_aware_static,Gamma_smoothed,Gamma_static_min,QTV_proxy_capacity_aware_static,QTV_proxy_smoothed,QTV_proxy_static_min,T_exe_capacity_aware_static,T_exe_smoothed,T_exe_static_min,T_static_capacity_aware_static,T_static_smoothed,T_static_static_min,feasible_capacity_aware_static,feasible_smoothed,feasible_static_min,stall_cycles_capacity_aware_static,stall_cycles_smoothed,stall_cycles_static_min,both_feasible,inversion,T_exe_improvement,stall_reduction,relative_change_in_QTV
qft_n8,3,10,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413016.0,549736.0,549736.0,551627.0,549736,549736,549736,1,1,1,0.0,0.0,1891.0,1,0,0.0034280410494772736,1891.0,-0.0034280410494772736
qft_n8,3,11,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413008.0,549736.0,549736.0,551626.0,549736,549736,549736,1,1,1,0.0,0.0,1890.0,1,0,0.0034262344414512733,1890.0,-0.0034262344414512733
qft_n8,3,12,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413008.0,549736.0,549736.0,551626.0,549736,549736,549736,1,1,1,0.0,0.0,1890.0,1,0,0.0034262344414512733,1890.0,-0.0034262344414512733
qft_n8,3,13,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413000.0,549736.0,549736.0,551625.0,549736,549736,549736,1,1,1,0.0,0.0,1889.0,1,0,0.0034244278268751416,1889.0,-0.0034244278268751416
qft_n8,3,14,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4412992.0,549736.0,549736.0,551624.0,549736,549736,549736,1,1,1,0.0,0.0,1888.0,1,0,0.0034226212057488436,1888.0,-0.0034226212057488436
qft_n8,3,15,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4412992.0,549736.0,549736.0,551624.0,549736,549736,549736,1,1,1,0.0,0.0,1888.0,1,0,0.0034226212057488436,1888.0,-0.0034226212057488436
qft_n8,4,0,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,inf,549736.0,549736.0,inf,549736,549736,549736,1,1,0,0.0,0.0,inf,0,0,0.0,0.0,0.0
qft_n8,4,1,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,inf,549736.0,549736.0,inf,549736,549736,549736,1,1,0,0.0,0.0,inf,0,0,0.0,0.0,0.0
qft_n8,4,2,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397920.0,549736.0,549736.0,549740.0,549736,549736,549736,1,1,1,0.0,0.0,4.0,1,0,7.2761669152690366e-06,4.0,-7.2761669152690366e-06
qft_n8,4,3,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
